# ----------------------------------------
# 1 Master View
# 잠재고객 개요
# 20180101-20180417
# ----------------------------------------

일 색인,기간,분류,사용자
18. 4. 5.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,195"
18. 4. 5.,2018. 1. 1 - 2018. 4. 17,재사용자,863
18. 4. 6.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,998"
18. 4. 6.,2018. 1. 1 - 2018. 4. 17,재사용자,769
18. 4. 7.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,676"
18. 4. 7.,2018. 1. 1 - 2018. 4. 17,재사용자,459
18. 4. 8.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,905"
18. 4. 8.,2018. 1. 1 - 2018. 4. 17,재사용자,530
18. 4. 9.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,369"
18. 4. 9.,2018. 1. 1 - 2018. 4. 17,재사용자,921
18. 4. 10.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,409"
18. 4. 10.,2018. 1. 1 - 2018. 4. 17,재사용자,963
18. 4. 11.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,268"
18. 4. 11.,2018. 1. 1 - 2018. 4. 17,재사용자,948
18. 4. 12.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,392"
18. 4. 12.,2018. 1. 1 - 2018. 4. 17,재사용자,924
18. 4. 13.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,036"
18. 4. 13.,2018. 1. 1 - 2018. 4. 17,재사용자,775
18. 4. 14.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,502"
18. 4. 14.,2018. 1. 1 - 2018. 4. 17,재사용자,442
18. 4. 15.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,616"
18. 4. 15.,2018. 1. 1 - 2018. 4. 17,재사용자,537
18. 4. 16.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,364"
18. 4. 16.,2018. 1. 1 - 2018. 4. 17,재사용자,875
18. 4. 17.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,423"
18. 4. 17.,2018. 1. 1 - 2018. 4. 17,재사용자,894
,2018. 1. 1 - 2018. 4. 17,신규 사용자,"237,181"
,2018. 1. 1 - 2018. 4. 17,재사용자,"76,667"
