13, 'The Fighter', 2010, 'https://www.rottentomatoes.com/m/the_fighter_2011/', 'https://resizing.flixster.com/g4JHNUf9OYL1zsquMicEBcOT3tQ=/180x270/v1.bTsxMTE2ODkzOTtqOzE3OTc4OzIwNDg7ODAwOzEyMDA'
12, 'The Quiet Man', 1952, 'https://www.rottentomatoes.com/m/quiet_man/', 'https://resizing.flixster.com/RZAg8TPNKxDDgXfijgDrY4wE3jc=/180x240/v1.bTsxMTIwNTgwOTtqOzE3OTkzOzIwNDg7MTUxMjsyMDE2'
11, 'Million Dollar Baby', 2004, 'https://www.rottentomatoes.com/m/million_dollar_baby/', 'https://resizing.flixster.com/Ii6a6U9w2d941JjZYGOSzLDbfYE=/180x270/v1.bTsxMTE2ODEwNjtqOzE3OTU1OzIwNDg7ODAwOzEyMDA'
10, 'Rocky', 1976, 'https://www.rottentomatoes.com/m/1017776-rocky/', 'https://resizing.flixster.com/Rydu3y8e-hRy1t-Qlf9jnYGU4hw=/180x240/v1.bTsxMTYxNDM4NTtqOzE3OTc0OzIwNDg7NzE0Ozk1Mg'
9, 'When We Were Kings', 1996, 'https://www.rottentomatoes.com/m/when_we_were_kings/', 'https://resizing.flixster.com/Zbhz3FWNAdx8Cm_jJkRxAu2UNzw=/180x240/v1.bTsxMTYxNDY2NztqOzE3OTg2OzIwNDg7Nzk4OzEwNjQ'
8, 'Hard Times', 1975, 'https://www.rottentomatoes.com/m/1009211-hard_times/', 'https://resizing.flixster.com/v9mlUOg57VH4rUsf-aQelYf-G-k=/180x240/v1.bTsxMTIwNDQzNztqOzE3OTcxOzIwNDg7MTUzNjsyMDQ4'
7, 'The Harder They Fall', 1956, 'https://www.rottentomatoes.com/m/1009224-harder_they_fall/', 'https://resizing.flixster.com/Pq8NVi_HPIezfZBR--y8I5tMsy4=/180x240/v1.bTsxMTIwNjQyNDtqOzE3OTc4OzIwNDg7MTUzNjsyMDQ4'
6, 'Gentleman Jim', 1942, 'https://www.rottentomatoes.com/m/gentleman_jim/', 'https://resizing.flixster.com/UK6ZmltQQR-BiMyNS8wzvjMyJ6g=/180x240/v1.bTsxMTIxOTQwODtqOzE3OTU3OzIwNDg7MTk5ODsyNjY0'
5, 'Body and Soul', 1947, 'https://www.rottentomatoes.com/m/body_and_soul_1947/', 'https://resizing.flixster.com/PddNNauXF0BS4XSM2Wh-iGWaIFI=/180x240/v1.bTsxMTYyMDgwNTtqOzE3OTU5OzIwNDg7MzE1OzQyMA'
4, 'Raging Bull', 1980, 'https://www.rottentomatoes.com/m/raging_bull/', 'https://resizing.flixster.com/mgbLDKJySlywJ2ZT63dkVlqCI64=/180x240/v1.bTsxMTI5MTgwOTtqOzE3OTU0OzIwNDg7MTUzNjsyMDQ4'
3, 'The Happiest Day in the Life of Olli Mäki (Hymyilevä mies)', 2017, 'https://www.rottentomatoes.com/m/the_happiest_day_in_the_life_of_olli_maki_2017/', 'https://resizing.flixster.com/AvX9luCheJyxB1oOR07vKf-lsw4=/180x264/v1.bTsxMjM1MDcxNztqOzE3OTM0OzIwNDg7NDUwOzY1OQ'
2, 'Fat City', 1972, 'https://www.rottentomatoes.com/m/fat_city/', 'https://resizing.flixster.com/60eHpgKPod9B5vxBfyahvriztAA=/180x240/v1.bTsxMTIwODA3MDtqOzE3OTU5OzIwNDg7MTUzNjsyMDQ4'
1, 'Creed', 2015, 'https://www.rottentomatoes.com/m/creed_2015/', 'https://resizing.flixster.com/gjV5dBNgv2mGgY4WAD-rt97cacc=/180x267/v1.bTsxMTIyNjAyNjtqOzE3OTYwOzIwNDg7NTc0Ozg1MQ'
